id,name,category,image,distance,detail_url
1,롤링파스타 부산경성대점,양식,,549.0,https://m.place.naver.com/restaurant/1586990780/home
2,물레방아즉석구이,한식,,601.0,https://m.place.naver.com/restaurant/13573518/home
3,종가대박집 대연점,한식,,514.0,https://m.place.naver.com/restaurant/37953628/home
5,Ocean View 샤브애진심,한식,,368.0,
6,카페 미도리,카페,,1413.0,
7,남천홍반장,중식,,1026.0,https://m.place.naver.com/restaurant/1604298400/home
8,타코비 대연점,일식,,1472.0,https://m.place.naver.com/restaurant/1162490463/home
9,용소해장국,한식,,509.0,
10,완벌집 경성대본점,한식,,426.0,
11,카츠백 남구대연점,일식,,1393.0,
12,편백찜,한식,,962.0,https://m.place.naver.com/restaurant/2073877045/home
13,지성이해물찜,해산물,,554.0,https://m.place.naver.com/restaurant/2144387995/home
14,미국할매,양식,,324.0,https://m.place.naver.com/restaurant/2099291416/home
15,코고미식당,일식,,348.0,http://place.map.kakao.com/80298362
16,아일드블루,카페,,1627.0,
17,파파존스 부산남구점,피자,,492.0,https://m.place.naver.com/restaurant/752963801/home
18,우홍백 돼지국밥 본점,한식,,573.0,
19,다정한족발 남천점,한식,,680.0,
20,버거잇[Burgereat],햄버거,,358.0,
21,홍루이젠 부산W스퀘어점,햄버거,,570.0,https://m.place.naver.com/restaurant/1982840345/home
22,라신당마라탕 부경대경성대점,중식,,287.0,http://place.map.kakao.com/1908057480
23,진지와찬,분식,,1620.0,
24,시장을여는사람들,한식,,493.0,https://m.place.naver.com/restaurant/1318402113/home
25,칠칠켄터키 경성대점,치킨,,447.0,https://m.place.naver.com/restaurant/1269252246/home
26,홍루이젠 부산대연점,카페,,692.0,https://m.place.naver.com/restaurant/1460720654/home
27,못골맥주 대연동 본점,양식,,1184.0,
28,정성숯불두마리치킨 대연점,치킨,,495.0,
29,초배집,일식,,962.0,
30,원조뚱땡이김치찌개,한식,,346.0,http://place.map.kakao.com/525701700
31,고봉민김밥인 부산대연점,분식,,1644.0,https://m.place.naver.com/restaurant/20753511/home
32,먹고또먹고,분식,,1634.0,
33,이천밥쌤 경성대부경대점,일식,,464.0,
34,다반,카페,,482.0,http://place.map.kakao.com/19041481
