id,name,기존좌표,새좌표,검색어,후보명,결과,거리 재측정 결과,오류
5,Ocean View 샤브애진심,"nan,nan",,부산 남구 Ocean View 샤브애진심,,실패,,검색결과없음/범위초과
27,못골맥주 대연동 본점,"nan,nan",,부산 남구 못골맥주 대연동 본점,,실패,,검색결과없음/범위초과
29,초배집,"nan,nan",,부산 남구 초배집,,실패,,검색결과없음/범위초과
38,사각치킨,"35.8314120664129,127.130276914729",,부산 남구 사각치킨,,실패,,검색결과없음/범위초과
43,먹부심,"nan,nan",,부산 남구 먹부심,,실패,,검색결과없음/범위초과
50,청화백돼지국밥 광안리본점,"nan,nan",,부산 남구 청화백돼지국밥 광안리본점,,실패,,검색결과없음/범위초과
115,담가화로구이 대연점,"nan,nan",,부산 남구 담가화로구이 대연점,,실패,,검색결과없음/범위초과
117,킹스피자 남구점,"37.39262666374254,126.64447465914289",,부산 남구 킹스피자 남구점,,실패,,검색결과없음/범위초과
127,냉삼회관 부산대연점,"nan,nan",,부산 남구 냉삼회관 부산대연점,,실패,,검색결과없음/범위초과
182,MOZART 수제함박스테이크&돈까스,"nan,nan",,부산 남구 MOZART 수제함박스테이크&돈까스,,실패,,검색결과없음/범위초과
186,남천육회상회,"nan,nan",,부산 남구 남천육회상회,,실패,,검색결과없음/범위초과
188,몽벨쉘터 경성대부경대점,"nan,nan",,부산 남구 몽벨쉘터 경성대부경대점,,실패,,검색결과없음/범위초과
200,전남친순대 못골시장점,"nan,nan",,부산 남구 전남친순대 못골시장점,,실패,,검색결과없음/범위초과
206,연어의진심 연심 대연점,"nan,nan",,부산 남구 연어의진심 연심 대연점,,실패,,검색결과없음/범위초과
211,오도우 본점,"nan,nan",,부산 남구 오도우 본점,,실패,,검색결과없음/범위초과
237,까치솥뚜껑닭도리 대연점,"nan,nan",,부산 남구 까치솥뚜껑닭도리 대연점,,실패,,검색결과없음/범위초과
257,THE순대,"37.5604187908092,127.200205549674",,부산 남구 THE순대,,실패,,검색결과없음/범위초과
296,태연옥,"nan,nan",,부산 남구 태연옥,,실패,,검색결과없음/범위초과
316,궁중해물탕 조씨집 대연본점,"nan,nan",,부산 남구 궁중해물탕 조씨집 대연본점,,실패,,검색결과없음/범위초과
375,하단끝집 경성대부경대점,"nan,nan",,부산 남구 하단끝집 경성대부경대점,,실패,,검색결과없음/범위초과
393,하늘소불고기 대연본점,"nan,nan",,부산 남구 하늘소불고기 대연본점,,실패,,검색결과없음/범위초과
407,4도C냉면 & 우동,"nan,nan",,부산 남구 4도C냉면 & 우동,,실패,,검색결과없음/범위초과
454,족스토리,"nan,nan",,부산 남구 족스토리,,실패,,검색결과없음/범위초과
473,못골브레드,"37.895873584377576,127.042776823163",,부산 남구 못골브레드,,실패,,검색결과없음/범위초과
475,치한당 경성대부경대점,"nan,nan",,부산 남구 치한당 경성대부경대점,,실패,,검색결과없음/범위초과
476,옥돈까츠,"37.377390078283824,127.1116294208322",,부산 남구 옥돈까츠,,실패,,검색결과없음/범위초과
487,메이드어맛,"nan,nan",,부산 남구 메이드어맛,,실패,,검색결과없음/범위초과
535,거래처,"35.4050879168111,127.385150321543",,부산 남구 거래처,,실패,,검색결과없음/범위초과
586,박성환돈까스 남천점,"nan,nan",,부산 남구 박성환돈까스 남천점,,실패,,검색결과없음/범위초과
640,타코짱 수영점,"nan,nan",,부산 남구 타코짱 수영점,,실패,,검색결과없음/범위초과
655,참새주막,"nan,nan",,부산 남구 참새주막,,실패,,검색결과없음/범위초과
680,달봉이떡볶이,"nan,nan",,부산 남구 달봉이떡볶이,,실패,,검색결과없음/범위초과
681,삼국 남천본점,"nan,nan",,부산 남구 삼국 남천본점,,실패,,검색결과없음/범위초과
686,남송,"37.31945443177474,127.9399985003608",,부산 남구 남송,,실패,,검색결과없음/범위초과
720,불로만숯불바베큐 대연1호점,"nan,nan",,부산 남구 불로만숯불바베큐 대연1호점,,실패,,검색결과없음/범위초과
737,용소식당 경성대 대연동점,"nan,nan",,부산 남구 용소식당 경성대 대연동점,,실패,,검색결과없음/범위초과
740,카레온 부산 경성대본점,"nan,nan",,부산 남구 카레온 부산 경성대본점,,실패,,검색결과없음/범위초과
752,동경밥상 본점,"nan,nan",,부산 남구 동경밥상 본점,,실패,,검색결과없음/범위초과
771,아트마네,"nan,nan",,부산 남구 아트마네,,실패,,검색결과없음/범위초과
796,스시하율,"nan,nan",,부산 남구 스시하율,,실패,,검색결과없음/범위초과
824,야키토리장인,"nan,nan",,부산 남구 야키토리장인,,실패,,검색결과없음/범위초과
850,기장첫냉면 광안리본점,"nan,nan",,부산 남구 기장첫냉면 광안리본점,,실패,,검색결과없음/범위초과
855,간빠맥주,"37.5650644319944,126.992263606612",,부산 남구 간빠맥주,,실패,,검색결과없음/범위초과
870,벤베커 부산광안리점,"nan,nan",,부산 남구 벤베커 부산광안리점,,실패,,검색결과없음/범위초과
903,장수녹차숯불갈비,"37.4500767331364,126.749819050599",,부산 남구 장수녹차숯불갈비,,실패,,검색결과없음/범위초과
934,회뜰기세,"nan,nan",,부산 남구 회뜰기세,,실패,,검색결과없음/범위초과
935,한양왕족발,"37.4776455665849,126.983742557839",,부산 남구 한양왕족발,,실패,,검색결과없음/범위초과
