id,name,query,old_url,checked_at,status,new_url,candidate_name,score,candidate_lat,candidate_lon,error
272,1953형제돼지국밥 광안리점,부산 남구 대연동 1953형제돼지국밥 광안리점,https://place.map.kakao.com/2096890217,2026-08-13T14:11:54+09:00,URL_확인,https://m.place.naver.com/restaurant/1959901593/home,1953형제돼지국밥 광안리점,1.0,35.1496057,129.1126361,
273,마일로 남천점,부산 남구 대연동 마일로 남천점,http://place.map.kakao.com/868292192,2026-08-13T14:11:57+09:00,URL_확인,https://m.place.naver.com/restaurant/1197199521/home,카페마일로 남천점,0.93,35.1377248,129.1094454,
274,본죽&비빔밥cafe 부산부경대경성대점,부산 남구 대연동 본죽&비빔밥cafe 부산부경대경성대점,http://place.map.kakao.com/13025674,2026-08-13T14:11:59+09:00,요청오류,,,,,,403 Client Error: Forbidden for url: https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%82%B0+%EB%82%A8%EA%B5%AC+%EB%B3%B8%EC%A3%BD%26%EB%B9%84%EB%B9%94%EB%B0%A5cafe+%EB%B6%80%EC%82%B0%EB%B6%80%EA%B2%BD%EB%8C%80%EA%B2%BD%EC%84%B1%EB%8C%80%EC%A0%90
275,666버거 대연점,부산 남구 대연동 666버거 대연점,https://place.map.kakao.com/1886438095,2026-08-13T14:12:01+09:00,요청오류,,,,,,403 Client Error: Forbidden for url: https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%82%B0+%EB%82%A8%EA%B5%AC+666%EB%B2%84%EA%B1%B0+%EB%8C%80%EC%97%B0%EC%A0%90
276,호야 이자까야,부산 남구 대연동 호야 이자까야,https://place.map.kakao.com/16666344,2026-08-13T14:12:02+09:00,요청오류,,,,,,403 Client Error: Forbidden for url: https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%82%B0+%EB%82%A8%EA%B5%AC+%ED%98%B8%EC%95%BC+%EC%9D%B4%EC%9E%90%EA%B9%8C%EC%95%BC
277,부산오복당 이기대본점,부산 남구 대연동 부산오복당 이기대본점,https://place.map.kakao.com/825149149,2026-08-13T14:12:04+09:00,요청오류,,,,,,403 Client Error: Forbidden for url: https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%82%B0+%EB%82%A8%EA%B5%AC+%EB%B6%80%EC%82%B0%EC%98%A4%EB%B3%B5%EB%8B%B9+%EC%9D%B4%EA%B8%B0%EB%8C%80%EB%B3%B8%EC%A0%90
278,파니니숲,부산 남구 대연동 파니니숲,http://place.map.kakao.com/1441563297,2026-08-13T14:12:05+09:00,요청오류,,,,,,403 Client Error: Forbidden for url: https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%82%B0+%EB%82%A8%EA%B5%AC+%ED%8C%8C%EB%8B%88%EB%8B%88%EC%88%B2
279,푸주인 대연역점,부산 남구 대연동 푸주인 대연역점,https://place.map.kakao.com/841377400,2026-08-13T14:12:07+09:00,요청오류,,,,,,403 Client Error: Forbidden for url: https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%82%B0+%EB%82%A8%EA%B5%AC+%ED%91%B8%EC%A3%BC%EC%9D%B8+%EB%8C%80%EC%97%B0%EC%97%AD%EC%A0%90
281,갓생맥주 본점,부산 남구 대연동 갓생맥주 본점,http://place.map.kakao.com/375632043,2026-08-13T14:12:09+09:00,요청오류,,,,,,403 Client Error: Forbidden for url: https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%82%B0+%EB%82%A8%EA%B5%AC+%EA%B0%93%EC%83%9D%EB%A7%A5%EC%A3%BC+%EB%B3%B8%EC%A0%90
282,바당 전복죽,부산 남구 대연동 바당 전복죽,https://place.map.kakao.com/786997925,2026-08-13T14:12:10+09:00,요청오류,,,,,,403 Client Error: Forbidden for url: https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%82%B0+%EB%82%A8%EA%B5%AC+%EB%B0%94%EB%8B%B9+%EC%A0%84%EB%B3%B5%EC%A3%BD
