data_source,name,category,address,road_address,phone,latitude,longitude,distance_m,star_rating,visitor_reviews,blog_reviews,image_url,original_source,collected_at
CSV,18번완당,분식,부산 수영구 남천동로9번길 28,,,,,,4.48,,0,,,
CSV,1953형제돼지국밥 광안리점,한식,부산 수영구 남천바다로 17 1층,,,,,,4.85,,0,,,
CSV,1953형제돼지국밥 본점,한식,부산 남구 용소로13번길 29-1,,,,,,4.8,,0,,,
CSV,1970 신포할매 쫄면과돈까스 대연점,일식,부산 남구 수영로298번길 21,,,,,,별점 없음,0.0,0,,,
CSV,1978 상하이짬뽕 대연점,중식,부산 남구 용소로19번길 41-1,,,,,,별점 없음,2.0,0,,,
JSON,25센치꼬치앤오뎅바 경성대점,분식,부산광역시 남구 대연동 42-9 1층,,,,,,,0.0,0,,,
CSV,2인분 봉지국밥,한식,부산 남구 유엔로120번길 17,,,,,,별점 없음,2.0,0,,,
CSV,2피자1치킨상회 부산남구점,피자,부산 남구 못골번영로40번길 8 1(일부)층(대연동),,,,,,별점 없음,24.0,0,,,
CSV,4도C냉면 & 우동,한식,부산 남구 수영로 274,,,,,,별점 없음,1.0,0,,,
CSV,60계치킨 부산광안점,치킨,부산 수영구 남천바다로21번길 6 1층,,,,,,별점 없음,459.0,0,,,
CSV,611WoodFire,양식,부산 수영구 황령산로 14-1 2층,,,,,,별점 없음,337.0,0,,,
MERGED,666버거 대연점,햄버거,부산 남구 유엔로 211 정성재아파트 상가 101동 101호,,,,,,별점 없음,205.0,0,,,
JSON,758burger,햄버거,부산광역시 남구 대연동 43-26 758burger,,,,,,,0.0,0,,,
JSON,7곡제면소 경성대점,한식,부산광역시 남구 대연동 74-4 1층,,,,,,,0.0,0,,,
CSV,7번가피자 대연점,피자,부산 남구 유엔로 140 1층,,,,,,별점 없음,198.0,0,,,
CSV,APP 앱피자,피자,부산 남구 유엔로 197,,,,,,별점 없음,4.0,0,,,
CSV,BBQ치킨 부산경성대점,치킨,부산 남구 용소로7번길 35 1층,,,,,,별점 없음,166.0,0,,,
CSV,BBQ치킨 부산대연점,치킨,부산 남구 진남로36번길 2 1층,,,,,,별점 없음,266.0,0,,,
CSV,BBQ치킨 부산대연파크점,치킨,부산 남구 홍곡로 360 상가 401동 108호,,,,,,별점 없음,37.0,0,,,
CSV,BBQ치킨 부산부경대점,치킨,부산 남구 수영로366번길 31 2층,,,,,,별점 없음,20.0,0,,,
CSV,BBQ치킨 용호메트로점,치킨,부산 남구 신선로 566 401동 1층 110호,,,,,,별점 없음,88.0,0,,,
CSV,BHC치킨 대연못골점,치킨,부산 남구 진남로 51 1층,,,,,,별점 없음,32.0,0,,,
CSV,BHC치킨 부산대연점,치킨,부산 남구 석포로 76,,,,,,4.41,300.0,0,,,
CSV,DK 동키치킨 부산대연점,치킨,부산 남구 수영로196번길 9 1층,,,,,,별점 없음,119.0,0,,,
CSV,KFC 경성대부경대,햄버거,부산 남구 수영로 324 리마크빌대연 주상복합 1층,,,,,,별점 없음,,0,,,
CSV,KFC 광안리,햄버거,부산 수영구 광안해변로 153 비치세븐빌딩 1층,,,,,,별점 없음,8.0,0,,,
CSV,MOZART 수제함박스테이크&돈까스,일식,부산 남구 유엔평화로76번길 26,,,,,,별점 없음,81.0,0,,,
CSV,OL'55,양식,부산 남구 용소로19번길 26 지하1층 OL55(한은빌딩),,,,,,별점 없음,97.0,0,,,
CSV,Ocean View 샤브애진심,한식,부산 남구 분포로 66-17 3층,,,,,,별점 없음,,0,,,
CSV,PUSIL 광안리,양식,부산 수영구 광남로 43 1층,,,,,,4.88,,0,,,
CSV,Poke all day 포케&샐러드 경성대부경대점,양식,부산 남구 용소로 13,,,,,,별점 없음,,0,,,
CSV,THE 김치찌개,한식,부산 남구 용소로14번길 42 (대연동),,,,,,별점 없음,1.0,0,,,
CSV,THE순대,한식,부산 남구 동명로145번길 92,,,,,,별점 없음,0.0,0,,,
CSV,W 옵스 드마히니,카페,부산 남구 분포로 145 스퀘어동 2층 2022호,,,,,,별점 없음,,0,,,
MERGED,on the yard,피자,부산 남구 수영로346번길 23-1 on the yard,,,,,,4.57,,0,,,
CSV,가마치통닭 경성대점,치킨,부산 남구 수영로266번길 21 103호,,,,,,4.42,248.0,0,,,
CSV,가마치통닭 남천점,치킨,부산 수영구 남천동로 12,,,,,,별점 없음,218.0,0,,,
CSV,가마치통닭 부산메트로자이점,치킨,부산 남구 신선로 566,,,,,,별점 없음,333.0,0,,,
CSV,가마치통닭 부산용호점,치킨,부산 남구 용호로42번길 34 나동 1호 (용호동 현광빌라 1층),,,,,,별점 없음,205.0,0,,,
CSV,가연장미역국 정찬광안점,한식,부산 수영구 남천바다로10번길 69,,,,,,별점 없음,579.0,0,,,
CSV,가온카츠,일식,"부산 남구 이기대공원로26번길 13 다동 1층 101호(용호동, 해동그린빌라)",,,,,,별점 없음,1.0,0,,,
CSV,간빠맥주,일식,부산 수영구 남천바다로33번길 9 1층 101호,,,,,,4.91,2.0,0,,,
CSV,갈비짬뽕엔탕수육,중식,부산 남구 수영로298번길 27,,,,,,별점 없음,0.0,0,,,
CSV,감삼집 부산 경성대본점,한식,부산 남구 수영로322번길 33 2층,,,,,,4.9,,0,,,
CSV,갓생맥주 본점,양식,부산 남구 용소로13번길 23 1층,,,,,,4.8,,0,,,
MERGED,강인아구찜,해산물,"부산 남구 용소로7번길 63-4 1,2층 101,201호",,,,,,별점 없음,92.0,0,,,
JSON,갱갱덮밥 경성대부경대점,맛집,부산광역시 남구 대연동 537-5 1층,,,,,,,0.0,0,,,
CSV,거누광장 경성대점,한식,부산 남구 용소로13번길 12 쌍둥이빌딩 2층,,,,,,별점 없음,151.0,0,,,
CSV,거래처,한식,부산 수영구 남천동로9번길 57,,,,,,별점 없음,1.0,0,,,
CSV,거인통닭,치킨,부산 남구 수영로 195-5 거인통닭,,,,,,별점 없음,500.0,0,,,
MERGED,겐쇼심야라멘 경성대점,일식,부산 남구 용소로13번길 16 엠파이어빌딩 1층 겐쇼심야라멘,,,,,,별점 없음,,0,,,
CSV,경성 즉석떡볶이,분식,부산 남구 수영로 305 스파크,,,,,,별점 없음,1.0,0,,,
CSV,경성고기,분식,부산 남구 용소로8번길 33 1층,,,,,,4.84,335.0,0,,,
CSV,경수초장집,해산물,"부산 남구 용소로8번길 17 , 5층",,,,,,별점 없음,93.0,0,,,
CSV,계양깐,고기,부산 수영구 황령대로481번길 18-12 1층,,,,,,별점 없음,948.0,0,,,
CSV,고궁삼계탕,한식,부산 남구 용소로7번길 83 2층,,,,,,별점 없음,686.0,0,,,
CSV,고기가득통돼지김치찌개,한식,부산 남구 수영로346번길 37 고기가득통돼지김치찌개,,,,,,별점 없음,170.0,0,,,
CSV,고기굽는남자 광안리점,한식,부산 수영구 광남로 44 1층 고기굽는남자 광안리점,,,,,,4.85,,0,,,
CSV,고기달인,한식,부산 남구 용소로7번길 81 1층,,,,,,4.72,861.0,0,,,
CSV,고기대학,고기,부산 남구 못골로 97-11 고기대학,,,,,,별점 없음,0.0,0,,,
CSV,고덕사,한식,부산 수영구 황령대로489번길 14,,,,,,별점 없음,176.0,0,,,
CSV,고려통닭 부산용당점,치킨,부산 남구 유엔평화로125번길 4 1층,,,,,,별점 없음,11.0,0,,,
CSV,고베규카츠 광안점,일식,부산 수영구 남천바다로 35 2층,,,,,,4.85,,0,,,
CSV,고봉김밥 대남점,분식,부산 수영구 수영로384번길 19 남천파크상가 6호,,,,,,별점 없음,103.0,0,,,
CSV,고봉민김밥인 부산남천점,분식,부산 수영구 광남로48번길 5,,,,,,별점 없음,947.0,0,,,
