가게 이름,예상 도보시간(분),보행 거리(m),가장 가까운 거점,대분류 업종,검색 카테고리,도로명 주소,지번 주소,가게 ID,상세페이지 URL
할리스 국립부경대청운관점,1,95,학교 중앙,카페,카페,부산 남구 용소로 45,부산 남구 대연동 430-1,1053877717,http://place.map.kakao.com/1053877717
타보로,3,210,학교 중앙,카페,카페,부산 남구 용소로 45,부산 남구 대연동 430-1,1584060565,http://place.map.kakao.com/1584060565
카페파라다이스,4,236,정문 인근,카페,카페,부산 남구 용소로 45,부산 남구 대연동 430-1,2118477101,http://place.map.kakao.com/2118477101
엘브리또,4,283,쪽문/경성대역 인근,음식점,양식,부산 남구 용소로21번길 56,부산 남구 대연동 459,26917124,http://place.map.kakao.com/26917124
더크로와상,4,283,쪽문/경성대역 인근,음식점,맛집,부산 남구 용소로21번길 56,부산 남구 대연동 459-4,1562779929,http://place.map.kakao.com/1562779929
라일락식당,4,285,학교 중앙,음식점,한식,부산 남구 용소로 45,부산 남구 대연동 430-1,901558105,http://place.map.kakao.com/901558105
라신당마라탕 부경대경성대점,4,287,쪽문/경성대역 인근,음식점,중식,부산 남구 용소로21번길 56,부산 남구 대연동 459,1908057480,http://place.map.kakao.com/1908057480
유동커피 부경대점,4,291,쪽문/경성대역 인근,카페,카페,부산 남구 용소로21번길 56,부산 남구 대연동 459,1859706851,http://place.map.kakao.com/1859706851
맘스터치 신부경대점,5,305,쪽문/경성대역 인근,음식점,맛집,부산 남구 용소로21번길 62,부산 남구 대연동 458-5,15669705,http://place.map.kakao.com/15669705
나야한식당,5,306,쪽문/경성대역 인근,음식점,한식,부산 남구 용소로21번길 47,부산 남구 대연동 50-84,1491885708,http://place.map.kakao.com/1491885708
샤브로21 부경대점,5,308,쪽문/경성대역 인근,음식점,맛집,부산 남구 용소로21번길 62,부산 남구 대연동 458-5,734854263,http://place.map.kakao.com/734854263
카페051 부경대학교점,5,309,쪽문/경성대역 인근,카페,카페,부산 남구 용소로21번길 45,부산 남구 대연동 50-86,1185691927,http://place.map.kakao.com/1185691927
세영식품,5,313,후문/드림타워 인근,음식점,맛집,부산 남구 용소로 45,부산 남구 대연동 599-1,1392156474,http://place.map.kakao.com/1392156474
