name,category,star_rating,visitor_reviews,blog_reviews,address
백양숯불갈비 대연사거리 직영점,음식점,4.87,334,0,부산 남구 유엔평화로41번가길 42 1층 백양숯불갈비
길목화로,음식점,별점 없음,774,0,부산 남구 용소로7번길 28-1 1층
부산오복당 이기대본점,음식점,4.86,"1,480",0,부산 남구 용호로123번길 90-1 1층
호르몬치치 부산대연점,음식점,4.95,"2,020",0,부산 남구 용소로19번길 10 1층
1953형제돼지국밥 본점,음식점,4.8,"7,106",0,부산 남구 용소로13번길 29-1
구공해락 족발구이,음식점,4.96,308,0,부산 남구 용소로13번길 83 2층
푸주인 경성대점,음식점,별점 없음,"1,330",0,부산 남구 수영로334번길 18 1층
미국할매 대연본점,음식점,4.92,325,0,부산 남구 용소로21번길 45-1 1층
광안리남매,음식점,4.81,"4,070",0,부산 수영구 남천동로108번길 54 태광빌라 2층
겐쇼심야라멘 경성대점,음식점,별점 없음,"1,951",0,부산 남구 용소로13번길 16 엠파이어빌딩 1층 겐쇼심야라멘
철인7호,음식점,4.76,"1,850",0,부산 남구 수영로346번길 21 1층 철인7호
롤뺑드빠리,음식점,별점 없음,"1,181",0,부산 남구 용소로19번길 7 1층
갓생맥주 본점,음식점,4.8,"1,684",0,부산 남구 용소로13번길 23 1층
홍익돈까스 부산대연점,음식점,4.77,"4,676",0,부산 남구 용소로8번길 37 1층 홍익돈까스 부산대연점
해안숯불갈비 광안리 본점,음식점,4.9,"3,222",0,부산 수영구 남천바다로 35 1층
수연어 본점,음식점,4.75,"2,230",0,부산 남구 용소로40번길 30 제네시스 빼어날 수연어
이학수 한옥집김치찜 본점,음식점,4.5,"2,888",0,부산 남구 용소로7번길 79 이학수한옥집김치찜
샤브올 경성대점,음식점,별점 없음,"4,147",0,부산 남구 용소로8번길 21 2층
톤톤야끼,음식점,4.9,"1,856",0,부산 남구 용소로19번길 47
금수돼지국밥 경성부경대점,음식점,별점 없음,"5,621",0,부산 남구 수영로346번길 12 1층
흑산도횟집,음식점,4.92,399,0,부산 남구 수영로334번길 11 1층
유일한식탁,음식점,4.58,"1,971",0,부산 남구 용소로13번길 62 102동 1층 유일한식탁
영칼로리포케&샐러드 부산경성대부경대점,음식점,별점 없음,484,0,부산 남구 수영로 286 1층 영칼로리포케 부산 경성대부경대점
언양닭칼국수 경성대부경대점,음식점,4.74,"1,787",0,부산 남구 용소로8번길 14 1층 언양닭칼국수 경성대부경대점
원조서면소갈비살 경성대부경대점,음식점,별점 없음,692,0,부산 남구 용소로13번길 35 1층
텐달러 스테이크 앤 파스타,음식점,별점 없음,340,0,부산 남구 수영로358번길 17 1층
근사한중화요리 중찬 경성대본점,음식점,4.7,"2,328",0,부산 남구 수영로334번길 22
달빛에구운고등어 부산대연점,음식점,4.78,"1,254",0,부산 남구 유엔평화로 32 2동 2층
고궁삼계탕,음식점,별점 없음,686,0,부산 남구 용소로7번길 83 2층
화락짬뽕,음식점,4.92,317,0,부산 남구 용소로7번길 74 1층
평화김해뒷고기 경성대부경대점,음식점,별점 없음,"2,176",0,부산 남구 용소로13번길 9 평화김해뒷고기 경성대부경대점
여담,음식점,별점 없음,601,0,부산 남구 용소로13번길 32-1 1층
해금횟집,음식점,별점 없음,"6,848",0,부산 남구 용소로13번길 13
샤브온담,음식점,4.89,"1,151",0,부산 남구 황령대로492번길 24 202호
장호가양꼬치 경성부경대직영점,음식점,4.95,"1,207",0,부산 남구 용소로13번길 46 1층
텐짱,음식점,4.7,"1,053",0,부산 남구 수영로298번길 14 1층 텐짱
장수치킨맥주 경성대점,음식점,4.91,237,0,부산 남구 용소로13번길 41-1 1층
롤링파스타 부산경성대점,음식점,별점 없음,"3,880",0,부산 남구 용소로 3 2층
황해도,음식점,4.8,"1,039",0,부산 수영구 수영로394번길 35-3 황해도
용한우 남천점,음식점,4.89,269,0,부산 수영구 남천동로9번길 52 1층
우리집,음식점,4.93,44,0,부산 남구 용소로19번길 25 태양빌딩 지하1층
리틀베어베이크샵,음식점,별점 없음,608,0,부산 남구 수영로334번길 42 1층 리틀베어베이크샵
돈카츠 정,음식점,별점 없음,288,0,부산 남구 수영로334번길 56 1층 102호
스타벅스 경성대점,음식점,별점 없음,"6,314",0,부산 남구 수영로 312 (대연동)
오방가르드,음식점,별점 없음,380,0,부산 남구 용소로7번길 15-1 지하 오방가르드
