id,store_id,image_url,is_main
1246,1,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA0MDdfMjA5%2FMDAxNTg2MjI1Mzg1NzU3.iAZKzkHlccIEr8uDlAocp-dOtQ-ihnPjtyAls1MRcHYg.b7B4yop4wEueg2rdLX6azd3jivkCEhW00upV60ltFGgg.JPEG.star94711%2FKakaoTalk_20200407_104953307_20.jpg&type=a340,True
1247,2,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20120210_208%2Fkimboseuk_1328883561127DL5HT_JPEG%2FIMG_0318.JPG&type=f54_54,True
1248,3,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAyMDZfMTQz%2FMDAxNjc1NjQ3ODc3MzUy.dPchPVhkwfqwX_zxfDZnV-ixFRNty_tz5ByGNKzva1og.78pPdh9aN2at2Pmd1exmae4DyAMMj8nzlpaZHhK5B1Mg.JPEG.bee9393%2FIMG_4034.JPG&type=a340,True
1249,4,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20110102_113%2Fsssms97_1293956457556kXMRk_JPEG%2FDSC_0103.JPG&type=a340,True
1250,5,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNjAxMDdfMiAg%2FMDAxNzY3NzY0NzM3NTgz.9QGyjbNwMNFnAKWNoNPjtfwoVPAfsB_zCWPzIjTi6m4g.xsWZH6os3RAbZhZ4BljdzrFIe9L89-FiZEWkppe15S0g.JPEG%2F900%25A3%25DF20260107%25A3%25DF115458.jpg&type=a340,True
1251,6,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMDJfMjkw%2FMDAxNzM1ODA1NTU1MjA2.z3rcVXAkxDlM0rqDy_MTEwKdsqMOCjF8rbFuf2S8kpkg.43HjTW8wkWD4kRMgRBGS9IVikrXbjRjGFu7t1XdPFDsg.JPEG%2FIMG_6771.jpg&type=a340,True
1252,7,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTA0MTVfMjcw%2FMDAxNzQ0NjQ5NzYxNzMw.wGEDe98kmirTchdKMzSbbtB54H8nwRv-DCp-5tW3oBsg.WOZirMnxr628ttO0uKHrdwTIhqhnN8spjMQd2yLoMvkg.JPEG%2F900%25A3%25DF1744649556740.jpg&type=a340,True
1253,8,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MDZfMjg4%2FMDAxNjk0MDAzODczNjcy.KJUfxJN1iyiQ0nDJ2j_WzNdIxK9Hb8SfDizqn8AqR6Ig.jxSOkPNFUeFgHi4QK9D8qmtZeOKCeAJhrrdybdlWnkgg.JPEG.alalxe%2FP20230902_170229000_AC8A1AC1-62B0-4A59-8985-F4316750E846.JPG&type=a340,True
1254,9,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTEyMDNfMTUz%2FMDAxNzY0NzY5OTk3Nzcz.BHvaVGSCpxE6YVnEbeuZKAqv_GF6xMJqE2XbFs1s7Xkg.oNIkPZy08F-2HCH_FF4YX2Nog2u_mhY_GhORtuQROtwg.PNG%2F%25BF%25EB%25BC%25D2%25C7%25D8%25C0%25E5%25B1%25B9.png&type=a340,True
1255,10,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMjBfMTMz%2FMDAxNzM3MzgwMDIyMTM0.sL0N-6VAsHCS-Y9D_PUK_eEfy5TDIcVKq_AKuC_5EZsg.KNZR-O_uB_PVCMwamxFuFL1IJ7atNeuEUDbPBH7l7p8g.JPEG%2F900%25A3%25DF20250119%25A3%25DF173729.jpg&type=a340,True
